Orthogroup	Amel_protein_noIso	Bbub_protein_noIso	Bmus_protein_noIso	Casi_protein_noIso	Cdid_protein_noIso	Cdro_protein_noIso	Cimi_protein_noIso	Clup_protein_noIso	Cpor_protein_noIso	Csim_protein_noIso	Dnov_protein_noIso	Drot_protein_noIso	Emax_protein_noIso	Equa_protein_noIso	Hamp_protein_noIso	Hsap_protein_noIso	Lcat_protein_noIso	Mang_protein_noIso	Mdom_protein_noIso	Mjav_protein_noIso	Mmus_protein_noIso	Oafe_protein_noIso	Oana_protein_noIso	Opri_protein_noIso	Pafr_protein_noIso	Pgig_protein_noIso	Ptig_protein_noIso	Rfer_protein_noIso	Scar_protein_noIso	Shar_protein_noIso	Tman_protein_noIso	Ttru_protein_noIso
OG0023890							Cimi_XP.037587619.1																									
OG0023891							Cimi_XP.037587636.1																									
OG0023892							Cimi_XP.037587711.1																									
OG0023893							Cimi_XP.037587718.1																									
OG0023894							Cimi_XP.037587830.1																									
OG0023895							Cimi_XP.037587931.1																									
OG0023896							Cimi_XP.037588165.1																									
OG0023897							Cimi_XP.037588288.1																									
OG0023898							Cimi_XP.037588399.1																									
OG0023899							Cimi_XP.037588427.1																									
OG0023900							Cimi_XP.037588496.1																									
OG0023901							Cimi_XP.037588511.1																									
OG0023902							Cimi_XP.037588544.1																									
OG0023903							Cimi_XP.037588557.1																									
OG0023904							Cimi_XP.037588560.1																									
OG0023905							Cimi_XP.037588582.1																									
OG0023906							Cimi_XP.037588613.1																									
OG0023907							Cimi_XP.037588686.1																									
OG0023908							Cimi_XP.037588687.1																									
OG0023909							Cimi_XP.037588796.1																									
OG0023910							Cimi_XP.037588805.1																									
OG0023911							Cimi_XP.037588837.1																									
OG0023912							Cimi_XP.037588851.1																									
OG0023913							Cimi_XP.037588860.1																									
OG0023914							Cimi_XP.037588877.1																									
OG0023915							Cimi_XP.037588911.1																									
OG0023916							Cimi_XP.037588917.1																									
OG0023917							Cimi_XP.037588922.1																									
OG0023918							Cimi_XP.037589031.1																									
OG0023919							Cimi_XP.037589091.1																									
OG0023920							Cimi_XP.037589125.1																									
OG0023921							Cimi_XP.037589135.1																									
OG0023922							Cimi_XP.037589175.1																									
OG0023923							Cimi_XP.037589186.1																									
OG0023924							Cimi_XP.037589201.1																									
OG0023925							Cimi_XP.037589262.1																									
OG0023926							Cimi_XP.037589274.1																									
OG0023927							Cimi_XP.037589312.1																									
OG0023928							Cimi_XP.037589612.1																									
OG0023929							Cimi_XP.037589635.1																									
OG0023930							Cimi_XP.037589729.1																									
OG0023931							Cimi_XP.037589803.1																									
OG0023932							Cimi_XP.037589817.1																									
OG0023933							Cimi_XP.037589819.1																									
OG0023934							Cimi_XP.037589904.1																									
OG0023935							Cimi_XP.037589941.1																									
OG0023936							Cimi_XP.037589957.1																									
OG0023937							Cimi_XP.037590074.1																									
OG0023938							Cimi_XP.037590086.1																									
OG0023939							Cimi_XP.037590145.1																									
OG0023940							Cimi_XP.037590147.1																									
OG0023941							Cimi_XP.037590224.1																									
OG0023942							Cimi_XP.037590334.1																									
OG0023943							Cimi_XP.037590350.1																									
OG0023944							Cimi_XP.037590354.1																									
OG0023945							Cimi_XP.037590380.1																									
OG0023946							Cimi_XP.037590396.1																									
OG0023947							Cimi_XP.037590406.1																									
OG0023948							Cimi_XP.037590489.1																									
OG0023949							Cimi_XP.037590490.1																									
OG0023950							Cimi_XP.037590525.1																									
OG0023951							Cimi_XP.037590530.1																									
OG0023952							Cimi_XP.037590535.1																									
OG0023953							Cimi_XP.037590590.1																									
OG0023954							Cimi_XP.037590608.1																									
OG0023955							Cimi_XP.037590740.1																									
OG0023956							Cimi_XP.037590847.1																									
OG0023957							Cimi_XP.037590880.1																									
OG0023958							Cimi_XP.037590889.1																									
OG0023959							Cimi_XP.037590960.1																									
OG0023960							Cimi_XP.037591018.1																									
OG0023961							Cimi_XP.037591100.1																									
OG0023962							Cimi_XP.037591101.1																									
OG0023963							Cimi_XP.037591125.1																									
OG0023964							Cimi_XP.037591146.1																									
OG0023965							Cimi_XP.037591192.1																									
OG0023966							Cimi_XP.037591217.1																									
OG0023967							Cimi_XP.037591219.1																									
OG0023968							Cimi_XP.037591224.1																									
OG0023969							Cimi_XP.037591228.1																									
OG0023970							Cimi_XP.037591243.1																									
OG0023971							Cimi_XP.037591285.1																									
OG0023972							Cimi_XP.037591305.1																									
OG0023973							Cimi_XP.037591314.1																									
OG0023974							Cimi_XP.037591333.1																									
OG0023975							Cimi_XP.037591336.1																									
OG0023976							Cimi_XP.037591359.1																									
OG0023977							Cimi_XP.037591394.1																									
OG0023978							Cimi_XP.037591458.1																									
OG0023979							Cimi_XP.037591501.1																									
OG0023980							Cimi_XP.037591630.1																									
OG0023981							Cimi_XP.037591720.1																									
OG0023982							Cimi_XP.037591766.1																									
OG0023983							Cimi_XP.037591773.1																									
OG0023984							Cimi_XP.037591816.1																									
OG0023985							Cimi_XP.037591817.1																									
OG0023986							Cimi_XP.037591826.1																									
OG0023987							Cimi_XP.037591845.1																									
OG0023988							Cimi_XP.037591854.1																									
OG0023989							Cimi_XP.037591870.1																									
OG0023990							Cimi_XP.037591876.1																									
OG0023991							Cimi_XP.037591886.1																									
OG0023992							Cimi_XP.037591912.1																									
OG0023993							Cimi_XP.037591913.1																									
OG0023994							Cimi_XP.037591919.1																									
OG0023995							Cimi_XP.037591936.1																									
OG0023996							Cimi_XP.037592032.1																									
OG0023997							Cimi_XP.037592098.1																									
OG0023998							Cimi_XP.037592133.1																									
OG0023999							Cimi_XP.037592134.1																									
OG0024000							Cimi_XP.037592137.1																									
OG0024001							Cimi_XP.037592140.1																									
OG0024002							Cimi_XP.037592161.1																									
OG0024003							Cimi_XP.037592403.1																									
OG0024004							Cimi_XP.037592449.1																									
OG0024005							Cimi_XP.037592514.1																									
OG0024006							Cimi_XP.037592815.1																									
OG0024007							Cimi_XP.037592860.1																									
OG0024008							Cimi_XP.037592885.1																									
OG0024009							Cimi_XP.037592889.1																									
OG0024010							Cimi_XP.037592971.1																									
OG0024011							Cimi_XP.037592982.1																									
OG0024012							Cimi_XP.037592995.1																									
OG0024013							Cimi_XP.037593175.1																									
OG0024014							Cimi_XP.037593180.1																									
OG0024015							Cimi_XP.037593186.1																									
OG0024016							Cimi_XP.037593192.1																									
OG0024017							Cimi_XP.037593195.1																									
OG0024018							Cimi_XP.037593298.1																									
OG0024019							Cimi_XP.037593366.1																									
OG0024020							Cimi_XP.037593372.1																									
OG0024021							Cimi_XP.037593375.1																									
OG0024022							Cimi_XP.037593496.1																									
OG0024023							Cimi_XP.037593517.1																									
OG0024024							Cimi_XP.037593687.1																									
OG0024025							Cimi_XP.037593703.1																									
OG0024026							Cimi_XP.037593726.1																									
OG0024027							Cimi_XP.037593737.1																									
OG0024028							Cimi_XP.037593793.1																									
OG0024029							Cimi_XP.037593801.1																									
OG0024030							Cimi_XP.037593841.1																									
OG0024031							Cimi_XP.037593923.1																									
OG0024032							Cimi_XP.037593948.1																									
OG0024033							Cimi_XP.037594044.1																									
OG0024034							Cimi_XP.037594073.1																									
OG0024035							Cimi_XP.037594232.1																									
OG0024036							Cimi_XP.037594257.1																									
OG0024037							Cimi_XP.037594267.1																									
OG0024038							Cimi_XP.037594285.1																									
OG0024039							Cimi_XP.037594398.1																									
OG0024040							Cimi_XP.037594485.1																									
OG0024041							Cimi_XP.037594507.1																									
OG0024042							Cimi_XP.037594551.1																									
OG0024043							Cimi_XP.037594559.1																									
OG0024044							Cimi_XP.037594697.1																									
OG0024045							Cimi_XP.037594828.1																									
OG0024046							Cimi_XP.037594901.1																									
OG0024047							Cimi_XP.037594904.1																									
OG0024048							Cimi_XP.037594917.1																									
OG0024049							Cimi_XP.037594971.1																									
OG0024050							Cimi_XP.037595071.1																									
OG0024051							Cimi_XP.037595129.1																									
OG0024052							Cimi_XP.037595132.1																									
OG0024053							Cimi_XP.037595156.1																									
OG0024054							Cimi_XP.037595163.1																									
OG0024055							Cimi_XP.037595166.1																									
OG0024056							Cimi_XP.037595247.1																									
OG0024057							Cimi_XP.037595275.1																									
OG0024058							Cimi_XP.037595287.1																									
OG0024059							Cimi_XP.037595300.1																									
OG0024060							Cimi_XP.037595361.1																									
OG0024061							Cimi_XP.037595396.1																									
OG0024062							Cimi_XP.037595402.1																									
OG0024063							Cimi_XP.037595462.1																									
OG0024064							Cimi_XP.037595497.1																									
OG0024065							Cimi_XP.037595622.1																									
OG0024066							Cimi_XP.037595623.1																									
OG0024067							Cimi_XP.037595634.1																									
OG0024068							Cimi_XP.037595642.1																									
OG0024069							Cimi_XP.037595816.1																									
OG0024070							Cimi_XP.037595845.1																									
OG0024071							Cimi_XP.037595918.1																									
OG0024072							Cimi_XP.037595921.1																									
OG0024073							Cimi_XP.037595945.1																									
OG0024074							Cimi_XP.037595950.1																									
OG0024075							Cimi_XP.037596080.1																									
OG0024076							Cimi_XP.037596163.1																									
OG0024077							Cimi_XP.037596303.1																									
OG0024078							Cimi_XP.037596327.1																									
OG0024079							Cimi_XP.037596333.1																									
OG0024080							Cimi_XP.037596396.1																									
OG0024081							Cimi_XP.037596398.1																									
OG0024082							Cimi_XP.037596483.1																									
OG0024083							Cimi_XP.037596516.1																									
OG0024084							Cimi_XP.037596619.1																									
OG0024085							Cimi_XP.037596651.1																									
OG0024086							Cimi_XP.037596652.1																									
OG0024087							Cimi_XP.037596696.1																									
OG0024088							Cimi_XP.037596719.1																									
OG0024089							Cimi_XP.037596721.1																									
OG0024090							Cimi_XP.037596907.1																									
OG0024091							Cimi_XP.037597003.1																									
OG0024092							Cimi_XP.037597006.1																									
OG0024093							Cimi_XP.037597009.1																									
OG0024094							Cimi_XP.037597010.1																									
OG0024095							Cimi_XP.037597015.1																									
OG0024096							Cimi_XP.037597018.1																									
OG0024097							Cimi_XP.037597047.1																									
OG0024098							Cimi_XP.037597068.1																									
OG0024099							Cimi_XP.037597073.1																									
OG0024100							Cimi_XP.037597171.1																									
OG0024101							Cimi_XP.037597215.1																									
OG0024102							Cimi_XP.037597613.1																									
OG0024103							Cimi_XP.037597640.1																									
OG0024104							Cimi_XP.037597647.1																									
OG0024105							Cimi_XP.037597661.1																									
OG0024106							Cimi_XP.037597707.1																									
OG0024107							Cimi_XP.037597714.1																									
OG0024108							Cimi_XP.037597727.1																									
OG0024109							Cimi_XP.037597729.1																									
OG0024110							Cimi_XP.037597809.1																									
OG0024111							Cimi_XP.037597921.1																									
OG0024112							Cimi_XP.037597971.1																									
OG0024113							Cimi_XP.037597986.1																									
OG0024114							Cimi_XP.037598027.1																									
OG0024115							Cimi_XP.037598043.1																									
OG0024116							Cimi_XP.037598179.1																									
OG0024117							Cimi_XP.037598182.1																									
OG0024118							Cimi_XP.037598187.1																									
OG0024119							Cimi_XP.037598196.1																									
OG0024120							Cimi_XP.037598268.1																									
OG0024121							Cimi_XP.037598302.1																									
OG0024122							Cimi_XP.037598398.1																									
OG0024123							Cimi_XP.037598413.1																									
OG0024124							Cimi_XP.037598435.1																									
OG0024125							Cimi_XP.037598486.1																									
OG0024126							Cimi_XP.037598516.1																									
OG0024127							Cimi_XP.037598584.1																									
OG0024128							Cimi_XP.037598602.1																									
OG0024129							Cimi_XP.037598623.1																									
OG0024130							Cimi_XP.037598670.1																									
OG0024131							Cimi_XP.037598676.1																									
OG0024132							Cimi_XP.037598687.1																									
OG0024133							Cimi_XP.037598731.1																									
OG0024134							Cimi_XP.037598864.1																									
OG0024135							Cimi_XP.037598883.1																									
OG0024136							Cimi_XP.037598884.1																									
OG0024137							Cimi_XP.037598888.1																									
OG0024138							Cimi_XP.037598892.1																									
OG0024139							Cimi_XP.037598969.1																									
OG0024140							Cimi_XP.037598970.1																									
OG0024141							Cimi_XP.037598972.1																									
OG0024142							Cimi_XP.037599032.1																									
OG0024143							Cimi_XP.037599066.1																									
OG0024144							Cimi_XP.037599139.1																									
OG0024145							Cimi_XP.037599145.1																									
OG0024146							Cimi_XP.037599200.1																									
OG0024147							Cimi_XP.037599254.1																									
OG0024148							Cimi_XP.037599276.1																									
OG0024149							Cimi_XP.037599295.1																									
OG0024150							Cimi_XP.037599454.1																									
OG0024151							Cimi_XP.037599494.1																									
OG0024152							Cimi_XP.037599551.1																									
OG0024153							Cimi_XP.037599553.1																									
OG0024154							Cimi_XP.037599669.1																									
OG0024155							Cimi_XP.037599673.1																									
OG0024156							Cimi_XP.037599684.1																									
OG0024157							Cimi_XP.037599705.1																									
OG0024158							Cimi_XP.037599815.1																									
OG0024159							Cimi_XP.037599823.1																									
OG0024160							Cimi_XP.037599997.1																									
OG0024161							Cimi_XP.037600035.1																									
OG0024162							Cimi_XP.037600038.1																									
OG0024163							Cimi_XP.037600046.1																									
OG0024164							Cimi_XP.037600126.1																									
OG0024165							Cimi_XP.037600159.1																									
OG0024166							Cimi_XP.037600274.1																									
OG0024167							Cimi_XP.037600303.1																									
OG0024168							Cimi_XP.037600315.1																									
OG0024169							Cimi_XP.037600330.1																									
OG0024170							Cimi_XP.037600478.1																									
OG0024171							Cimi_XP.037600495.1																									
OG0024172							Cimi_XP.037600750.1																									
OG0024173							Cimi_XP.037600802.1																									
OG0024174							Cimi_XP.037600848.1																									
OG0024175							Cimi_XP.037600905.1																									
OG0024176							Cimi_XP.037600978.1																									
OG0024177							Cimi_XP.037601139.1																									
OG0024178							Cimi_XP.037601172.1																									
OG0024179							Cimi_XP.037601191.1																									
OG0024180							Cimi_XP.037601204.1																									
OG0024181							Cimi_XP.037601560.1																									
OG0024182							Cimi_XP.037601679.1																									
OG0024183							Cimi_XP.037601717.1																									
OG0024184							Cimi_XP.037601761.1																									
OG0024185							Cimi_XP.037601797.1																									
OG0024186							Cimi_XP.037601871.1																									
OG0024187							Cimi_XP.037601874.1																									
OG0024188								Clup_NP.001003197.2																								
OG0024189								Clup_NP.001361454.1																								
OG0024190								Clup_XP.038381402.1																								
OG0024191								Clup_XP.038381406.1																								
OG0024192								Clup_XP.038381413.1																								
OG0024193								Clup_XP.038381415.1																								
OG0024194								Clup_XP.038381418.1																								
OG0024195								Clup_XP.038381423.1																								
OG0024196								Clup_XP.038381425.1																								
OG0024197								Clup_XP.038381429.1																								
OG0024198								Clup_XP.038381433.1																								
OG0024199								Clup_XP.038381437.1																								
OG0024200								Clup_XP.038381440.1																								
OG0024201								Clup_XP.038381442.1																								
OG0024202								Clup_XP.038381473.1																								
OG0024203								Clup_XP.038381485.1																								
OG0024204								Clup_XP.038381489.1																								
OG0024205								Clup_XP.038381492.1																								
OG0024206								Clup_XP.038381493.1																								
OG0024207								Clup_XP.038381494.1																								
OG0024208								Clup_XP.038381530.1																								
OG0024209								Clup_XP.038381536.1																								
OG0024210								Clup_XP.038381539.1																								
OG0024211								Clup_XP.038381540.1																								
OG0024212								Clup_XP.038381730.1																								
OG0024213								Clup_XP.038382109.1																								
OG0024214								Clup_XP.038382394.1																								
OG0024215								Clup_XP.038382648.1																								
OG0024216								Clup_XP.038382783.1																								
OG0024217								Clup_XP.038382831.1																								
OG0024218								Clup_XP.038382944.1																								
OG0024219								Clup_XP.038383064.1																								
OG0024220								Clup_XP.038383135.1																								
OG0024221								Clup_XP.038383225.1																								
OG0024222								Clup_XP.038383786.1																								
OG0024223								Clup_XP.038383913.1																								
OG0024224								Clup_XP.038383923.1																								
OG0024225								Clup_XP.038383971.1																								
OG0024226								Clup_XP.038385336.1																								
OG0024227								Clup_XP.038385370.1																								
OG0024228								Clup_XP.038385478.1																								
OG0024229								Clup_XP.038385484.1																								
OG0024230								Clup_XP.038385503.1																								
OG0024231								Clup_XP.038385504.1																								
OG0024232								Clup_XP.038385506.1																								
OG0024233								Clup_XP.038385509.1																								
OG0024234								Clup_XP.038385525.1																								
OG0024235								Clup_XP.038385529.1																								
OG0024236								Clup_XP.038385530.1																								
OG0024237								Clup_XP.038385551.1																								
OG0024238								Clup_XP.038385563.1																								
OG0024239								Clup_XP.038385573.1																								
OG0024240								Clup_XP.038385584.1																								
OG0024241								Clup_XP.038386139.1																								
OG0024242								Clup_XP.038386406.1																								
OG0024243								Clup_XP.038387317.1																								
OG0024244								Clup_XP.038387350.1																								
OG0024245								Clup_XP.038387480.1																								
OG0024246								Clup_XP.038387489.1																								
OG0024247								Clup_XP.038387689.1																								
OG0024248								Clup_XP.038387719.1																								
OG0024249								Clup_XP.038387738.1																								
OG0024250								Clup_XP.038387888.1																								
OG0024251								Clup_XP.038387910.1																								
OG0024252								Clup_XP.038387942.1																								
OG0024253								Clup_XP.038387978.1																								
OG0024254								Clup_XP.038387987.1																								
OG0024255								Clup_XP.038387991.1																								
OG0024256								Clup_XP.038387992.1																								
OG0024257								Clup_XP.038388017.1																								
OG0024258								Clup_XP.038388044.1																								
OG0024259								Clup_XP.038388045.1																								
OG0024260								Clup_XP.038388052.1																								
OG0024261								Clup_XP.038388053.1																								
OG0024262								Clup_XP.038388055.1																								
OG0024263								Clup_XP.038388057.1																								
OG0024264								Clup_XP.038388059.1																								
OG0024265								Clup_XP.038388166.1																								
OG0024266								Clup_XP.038388173.1																								
OG0024267								Clup_XP.038388193.1																								
OG0024268								Clup_XP.038388233.1																								
OG0024269								Clup_XP.038388323.1																								
OG0024270								Clup_XP.038388639.1																								
OG0024271								Clup_XP.038388834.1																								
OG0024272								Clup_XP.038388965.1																								
OG0024273								Clup_XP.038389127.1																								
OG0024274								Clup_XP.038389537.1																								
OG0024275								Clup_XP.038389550.1																								
OG0024276								Clup_XP.038389605.1																								
OG0024277								Clup_XP.038389613.1																								
OG0024278								Clup_XP.038389614.1																								
OG0024279								Clup_XP.038389616.1																								
OG0024280								Clup_XP.038389625.1																								
OG0024281								Clup_XP.038389632.1																								
OG0024282								Clup_XP.038389639.1																								
OG0024283								Clup_XP.038389640.1																								
OG0024284								Clup_XP.038389644.1																								
OG0024285								Clup_XP.038389692.1																								
OG0024286								Clup_XP.038389693.1																								
OG0024287								Clup_XP.038389695.1																								
OG0024288								Clup_XP.038389696.1																								
OG0024289								Clup_XP.038389888.1																								
OG0024290								Clup_XP.038390004.1																								
OG0024291								Clup_XP.038390213.1																								
OG0024292								Clup_XP.038390785.1																								
OG0024293								Clup_XP.038390884.1																								
OG0024294								Clup_XP.038391043.1																								
OG0024295								Clup_XP.038391062.1																								
OG0024296								Clup_XP.038391066.1																								
OG0024297								Clup_XP.038391232.1																								
OG0024298								Clup_XP.038391312.1																								
OG0024299								Clup_XP.038391382.1																								
OG0024300								Clup_XP.038391396.1																								
OG0024301								Clup_XP.038391399.1																								
OG0024302								Clup_XP.038391414.1																								
OG0024303								Clup_XP.038391431.1																								
OG0024304								Clup_XP.038391447.1																								
OG0024305								Clup_XP.038391480.1																								
OG0024306								Clup_XP.038391482.1																								
OG0024307								Clup_XP.038391485.1																								
OG0024308								Clup_XP.038391487.1																								
OG0024309								Clup_XP.038391500.1																								
OG0024310								Clup_XP.038391502.1																								
OG0024311								Clup_XP.038391547.1																								
OG0024312								Clup_XP.038391660.1																								
OG0024313								Clup_XP.038391773.1																								
OG0024314								Clup_XP.038391791.1																								
OG0024315								Clup_XP.038391992.1																								
OG0024316								Clup_XP.038392237.1																								
OG0024317								Clup_XP.038392264.1																								
OG0024318								Clup_XP.038392854.1																								
OG0024319								Clup_XP.038392873.1																								
OG0024320								Clup_XP.038392947.1																								
OG0024321								Clup_XP.038394017.1																								
OG0024322								Clup_XP.038394052.1																								
OG0024323								Clup_XP.038394187.1																								
OG0024324								Clup_XP.038394385.1																								
OG0024325								Clup_XP.038394716.1																								
OG0024326								Clup_XP.038394727.1																								
OG0024327								Clup_XP.038394730.1																								
OG0024328								Clup_XP.038394732.1																								
OG0024329								Clup_XP.038394738.1																								
OG0024330								Clup_XP.038394746.1																								
OG0024331								Clup_XP.038394757.1																								
OG0024332								Clup_XP.038394835.1																								
OG0024333								Clup_XP.038394837.1																								
OG0024334								Clup_XP.038394840.1																								
OG0024335								Clup_XP.038394854.1																								
OG0024336								Clup_XP.038394856.1																								
OG0024337								Clup_XP.038394857.1																								
OG0024338								Clup_XP.038394859.1																								
OG0024339								Clup_XP.038394866.1																								
OG0024340								Clup_XP.038394867.1																								
OG0024341								Clup_XP.038394877.1																								
OG0024342								Clup_XP.038394878.1																								
OG0024343								Clup_XP.038394885.1																								
OG0024344								Clup_XP.038394887.1																								
OG0024345								Clup_XP.038395416.1																								
OG0024346								Clup_XP.038396292.1																								
OG0024347								Clup_XP.038396786.1																								
OG0024348								Clup_XP.038396880.1																								
OG0024349								Clup_XP.038396968.1																								
OG0024350								Clup_XP.038397172.1																								
OG0024351								Clup_XP.038397631.1																								
OG0024352								Clup_XP.038397637.1																								
OG0024353								Clup_XP.038397642.1																								
OG0024354								Clup_XP.038397661.1																								
OG0024355								Clup_XP.038397671.1																								
OG0024356								Clup_XP.038397723.1																								
OG0024357								Clup_XP.038397735.1																								
OG0024358								Clup_XP.038397737.1																								
OG0024359								Clup_XP.038397739.1																								
OG0024360								Clup_XP.038397742.1																								
OG0024361								Clup_XP.038397746.1																								
OG0024362								Clup_XP.038397747.1																								
OG0024363								Clup_XP.038397750.1																								
OG0024364								Clup_XP.038397834.1																								
OG0024365								Clup_XP.038397873.1																								
OG0024366								Clup_XP.038397908.1																								
OG0024367								Clup_XP.038398014.1																								
OG0024368								Clup_XP.038398104.1																								
OG0024369								Clup_XP.038398585.1																								
OG0024370								Clup_XP.038399796.1																								
OG0024371								Clup_XP.038399805.1																								
OG0024372								Clup_XP.038399971.1																								
OG0024373								Clup_XP.038400004.1																								
OG0024374								Clup_XP.038400007.1																								
OG0024375								Clup_XP.038400008.1																								
OG0024376								Clup_XP.038400011.1																								
OG0024377								Clup_XP.038400012.1																								
OG0024378								Clup_XP.038400016.1																								
OG0024379								Clup_XP.038400020.1																								
OG0024380								Clup_XP.038400087.1																								
OG0024381								Clup_XP.038400316.1																								
OG0024382								Clup_XP.038400397.1																								
OG0024383								Clup_XP.038400587.1																								
OG0024384								Clup_XP.038400891.1																								
OG0024385								Clup_XP.038401030.1																								
OG0024386								Clup_XP.038401796.1																								
OG0024387								Clup_XP.038401814.1																								
OG0024388								Clup_XP.038401873.1																								
OG0024389								Clup_XP.038401898.1																								
OG0024390								Clup_XP.038401900.1																								
OG0024391								Clup_XP.038401906.1																								
OG0024392								Clup_XP.038401907.1																								
OG0024393								Clup_XP.038401912.1																								
OG0024394								Clup_XP.038401913.1																								
OG0024395								Clup_XP.038401914.1																								
OG0024396								Clup_XP.038401917.1																								
OG0024397								Clup_XP.038401919.1																								
OG0024398								Clup_XP.038401972.1																								
OG0024399								Clup_XP.038401973.1																								
OG0024400								Clup_XP.038401984.1																								
OG0024401								Clup_XP.038401986.1																								
OG0024402								Clup_XP.038401989.1																								
OG0024403								Clup_XP.038401992.1																								
OG0024404								Clup_XP.038402007.1																								
OG0024405								Clup_XP.038402036.1																								
OG0024406								Clup_XP.038402037.1																								
OG0024407								Clup_XP.038402038.1																								
OG0024408								Clup_XP.038402040.1																								
OG0024409								Clup_XP.038402041.1																								
OG0024410								Clup_XP.038402042.1																								
OG0024411								Clup_XP.038402043.1																								
OG0024412								Clup_XP.038402045.1																								
OG0024413								Clup_XP.038402047.1																								
OG0024414								Clup_XP.038402049.1																								
OG0024415								Clup_XP.038402051.1																								
OG0024416								Clup_XP.038402052.1																								
OG0024417								Clup_XP.038402054.1																								
OG0024418								Clup_XP.038402055.1																								
OG0024419								Clup_XP.038402056.1																								
OG0024420								Clup_XP.038402176.1																								
OG0024421								Clup_XP.038402237.1																								
OG0024422								Clup_XP.038402341.1																								
OG0024423								Clup_XP.038402734.1																								
OG0024424								Clup_XP.038402753.1																								
OG0024425								Clup_XP.038403079.1																								
OG0024426								Clup_XP.038403282.1																								
OG0024427								Clup_XP.038403283.1																								
OG0024428								Clup_XP.038403284.1																								
OG0024429								Clup_XP.038403285.1																								
OG0024430								Clup_XP.038403286.1																								
OG0024431								Clup_XP.038403287.1																								
OG0024432								Clup_XP.038403289.1																								
OG0024433								Clup_XP.038403480.1																								
OG0024434								Clup_XP.038404290.1																								
OG0024435								Clup_XP.038404465.1																								
OG0024436								Clup_XP.038404789.1																								
OG0024437								Clup_XP.038404800.1																								
OG0024438								Clup_XP.038404812.1																								
OG0024439								Clup_XP.038405149.1																								
OG0024440								Clup_XP.038405287.1																								
OG0024441								Clup_XP.038405323.1																								
OG0024442								Clup_XP.038405409.1																								
OG0024443								Clup_XP.038405410.1																								
OG0024444								Clup_XP.038405412.1																								
OG0024445								Clup_XP.038405418.1																								
OG0024446								Clup_XP.038405420.1																								
OG0024447								Clup_XP.038405423.1																								
OG0024448								Clup_XP.038405424.1																								
OG0024449								Clup_XP.038405469.1																								
OG0024450								Clup_XP.038405480.1																								
OG0024451								Clup_XP.038405486.1																								
OG0024452								Clup_XP.038405490.1																								
OG0024453								Clup_XP.038405491.1																								
OG0024454								Clup_XP.038405494.1																								
OG0024455								Clup_XP.038405495.1																								
OG0024456								Clup_XP.038405527.1																								
OG0024457								Clup_XP.038405927.1																								
OG0024458								Clup_XP.038406113.1																								
OG0024459								Clup_XP.038406117.1																								
OG0024460								Clup_XP.038406125.1																								
OG0024461								Clup_XP.038406307.1																								
OG0024462								Clup_XP.038406458.1																								
OG0024463								Clup_XP.038406515.1																								
OG0024464								Clup_XP.038407123.1																								
OG0024465								Clup_XP.038407298.1																								
OG0024466								Clup_XP.038407345.1																								
OG0024467								Clup_XP.038407441.1																								
OG0024468								Clup_XP.038407446.1																								
OG0024469								Clup_XP.038407448.1																								
OG0024470								Clup_XP.038407486.1																								
OG0024471								Clup_XP.038407491.1																								
OG0024472								Clup_XP.038407503.1																								
OG0024473								Clup_XP.038407504.1																								
OG0024474								Clup_XP.038407505.1																								
OG0024475								Clup_XP.038407509.1																								
OG0024476								Clup_XP.038407513.1																								
OG0024477								Clup_XP.038407514.1																								
OG0024478								Clup_XP.038407518.1																								
OG0024479								Clup_XP.038407519.1																								
OG0024480								Clup_XP.038407556.1																								
OG0024481								Clup_XP.038407569.1																								
OG0024482								Clup_XP.038407571.1																								
OG0024483								Clup_XP.038407578.1																								
OG0024484								Clup_XP.038407585.1																								
OG0024485								Clup_XP.038407586.1																								
OG0024486								Clup_XP.038407756.1																								
OG0024487								Clup_XP.038407785.1																								
OG0024488								Clup_XP.038407839.1																								
OG0024489								Clup_XP.038407921.1																								
OG0024490								Clup_XP.038408170.1																								
OG0024491								Clup_XP.038408944.1																								
OG0024492								Clup_XP.038409218.1																								
OG0024493								Clup_XP.038409220.1																								
OG0024494								Clup_XP.038409226.1																								
OG0024495								Clup_XP.038409233.1																								
OG0024496								Clup_XP.038409234.1																								
OG0024497								Clup_XP.038409248.1																								
OG0024498								Clup_XP.038409272.1																								
OG0024499								Clup_XP.038409293.1																								
OG0024500								Clup_XP.038409295.1																								
OG0024501								Clup_XP.038409296.1																								
OG0024502								Clup_XP.038409300.1																								
OG0024503								Clup_XP.038409306.1																								
OG0024504								Clup_XP.038409307.1																								
OG0024505								Clup_XP.038410537.1																								
OG0024506								Clup_XP.038410765.1																								
OG0024507								Clup_XP.038410905.1																								
OG0024508								Clup_XP.038410979.1																								
OG0024509								Clup_XP.038410980.1																								
OG0024510								Clup_XP.038410986.1																								
OG0024511								Clup_XP.038410991.1																								
OG0024512								Clup_XP.038410992.1																								
OG0024513								Clup_XP.038410996.1																								
OG0024514								Clup_XP.038410998.1																								
OG0024515								Clup_XP.038411025.1																								
OG0024516								Clup_XP.038411033.1																								
OG0024517								Clup_XP.038411435.1																								
OG0024518								Clup_XP.038411579.1																								
OG0024519								Clup_XP.038411617.1																								
OG0024520								Clup_XP.038411713.1																								
OG0024521								Clup_XP.038411807.1																								
OG0024522								Clup_XP.038411811.1																								
OG0024523								Clup_XP.038412052.1																								
