Orthogroup	Dalb_protein_noIso	Dana_protein_noIso	Dari_protein_noIso	Dbip_protein_noIso	Dbus_protein_noIso	Dele_protein_noIso	Dere_protein_noIso	Dgri_protein_noIso	Dhyd_protein_noIso	Dkik_protein_noIso	Dmel_protein_noIso	Dmir_protein_noIso	Dpse_protein_noIso	Dsec_protein_noIso	Dser_protein_noIso	Dsuz_protein_noIso	Dwil_protein_noIso
OG0016006					Dbus_XP.017835392.1												
OG0016007					Dbus_XP.017835567.1												
OG0016008					Dbus_XP.017835892.1												
OG0016009					Dbus_XP.017836146.1												
OG0016010					Dbus_XP.017836168.1												
OG0016011					Dbus_XP.017836235.1												
OG0016012					Dbus_XP.017836383.2												
OG0016013					Dbus_XP.017836473.1												
OG0016014					Dbus_XP.017836478.1												
OG0016015					Dbus_XP.017836578.1												
OG0016016					Dbus_XP.017836587.1												
OG0016017					Dbus_XP.017836663.1												
OG0016018					Dbus_XP.017836702.1												
OG0016019					Dbus_XP.017836715.1												
OG0016020					Dbus_XP.017836716.1												
OG0016021					Dbus_XP.017836720.1												
OG0016022					Dbus_XP.017837572.1												
OG0016023					Dbus_XP.017838336.1												
OG0016024					Dbus_XP.017838697.1												
OG0016025					Dbus_XP.017838993.1												
OG0016026					Dbus_XP.017839519.2												
OG0016027					Dbus_XP.017839687.1												
OG0016028					Dbus_XP.017839752.1												
OG0016029					Dbus_XP.017840075.1												
OG0016030					Dbus_XP.017840191.1												
OG0016031					Dbus_XP.017840762.2												
OG0016032					Dbus_XP.017841012.2												
OG0016033					Dbus_XP.017841488.2												
OG0016034					Dbus_XP.017841529.1												
OG0016035					Dbus_XP.017841590.1												
OG0016036					Dbus_XP.017841596.1												
OG0016037					Dbus_XP.017841620.2												
OG0016038					Dbus_XP.017841637.2												
OG0016039					Dbus_XP.017841647.1												
OG0016040					Dbus_XP.017841672.1												
OG0016041					Dbus_XP.017841706.1												
OG0016042					Dbus_XP.017841711.2												
OG0016043					Dbus_XP.017841791.1												
OG0016044					Dbus_XP.017841908.2												
OG0016045					Dbus_XP.017842198.1												
OG0016046					Dbus_XP.017842339.1												
OG0016047					Dbus_XP.017843500.2												
OG0016048					Dbus_XP.017843775.1												
OG0016049					Dbus_XP.017843930.2												
OG0016050					Dbus_XP.017843999.1												
OG0016051					Dbus_XP.017844124.1												
OG0016052					Dbus_XP.017844367.2												
OG0016053					Dbus_XP.017844647.1												
OG0016054					Dbus_XP.017844651.1												
OG0016055					Dbus_XP.017844663.1												
OG0016056					Dbus_XP.017844695.1												
OG0016057					Dbus_XP.017844777.1												
OG0016058					Dbus_XP.017844789.1												
OG0016059					Dbus_XP.017844800.1												
OG0016060					Dbus_XP.017844872.2												
OG0016061					Dbus_XP.017845047.1												
OG0016062					Dbus_XP.017845482.1												
OG0016063					Dbus_XP.017845891.1												
OG0016064					Dbus_XP.017845944.2												
OG0016065					Dbus_XP.017846144.1												
OG0016066					Dbus_XP.017846179.1												
OG0016067					Dbus_XP.017846231.1												
OG0016068					Dbus_XP.017846268.1												
OG0016069					Dbus_XP.017846360.1												
OG0016070					Dbus_XP.017846374.1												
OG0016071					Dbus_XP.017846451.1												
OG0016072					Dbus_XP.017846789.1												
OG0016073					Dbus_XP.017846891.1												
OG0016074					Dbus_XP.017846895.1												
OG0016075					Dbus_XP.017848367.2												
OG0016076					Dbus_XP.017848406.1												
OG0016077					Dbus_XP.017848996.1												
OG0016078					Dbus_XP.017849289.1												
OG0016079					Dbus_XP.017849708.1												
OG0016080					Dbus_XP.017849903.1												
OG0016081					Dbus_XP.017850005.1												
OG0016082					Dbus_XP.017850069.1												
OG0016083					Dbus_XP.017850086.1												
OG0016084					Dbus_XP.017850116.1												
OG0016085					Dbus_XP.017850122.1												
OG0016086					Dbus_XP.017850145.1												
OG0016087					Dbus_XP.017850186.1												
OG0016088					Dbus_XP.017850274.1												
OG0016089					Dbus_XP.017850502.1												
OG0016090					Dbus_XP.017850601.1												
OG0016091					Dbus_XP.017850611.1												
OG0016092					Dbus_XP.017850615.1												
OG0016093					Dbus_XP.017850647.1												
OG0016094					Dbus_XP.017850863.1												
OG0016095					Dbus_XP.017850926.1												
OG0016096					Dbus_XP.017850980.1												
OG0016097					Dbus_XP.017851046.1												
OG0016098					Dbus_XP.017851150.1												
OG0016099					Dbus_XP.017851211.1												
OG0016100					Dbus_XP.017851402.1												
OG0016101					Dbus_XP.017851423.1												
OG0016102					Dbus_XP.017851437.1												
OG0016103					Dbus_XP.017851487.1												
OG0016104					Dbus_XP.017851493.1												
OG0016105					Dbus_XP.017851500.1												
OG0016106					Dbus_XP.017851506.1												
OG0016107					Dbus_XP.017851557.1												
OG0016108					Dbus_XP.017851655.1												
OG0016109					Dbus_XP.017851738.1												
OG0016110					Dbus_XP.017851757.1												
OG0016111					Dbus_XP.017852399.2												
OG0016112					Dbus_XP.017852478.1												
OG0016113					Dbus_XP.017852564.1												
OG0016114					Dbus_XP.017852802.1												
OG0016115					Dbus_XP.017853104.2												
OG0016116					Dbus_XP.017853257.1												
OG0016117					Dbus_XP.017853297.1												
OG0016118					Dbus_XP.017853353.1												
OG0016119					Dbus_XP.017853367.1												
OG0016120					Dbus_XP.017853385.1												
OG0016121					Dbus_XP.017853511.1												
OG0016122					Dbus_XP.017854290.1												
OG0016123					Dbus_XP.017854496.1												
OG0016124					Dbus_XP.017855313.2												
OG0016125					Dbus_XP.033148970.1												
OG0016126					Dbus_XP.033149009.1												
OG0016127					Dbus_XP.033149079.1												
OG0016128					Dbus_XP.033149096.1												
OG0016129					Dbus_XP.033149097.1												
OG0016130					Dbus_XP.033149185.1												
OG0016131					Dbus_XP.033149194.1												
OG0016132					Dbus_XP.033149273.1												
OG0016133					Dbus_XP.033149278.1												
OG0016134					Dbus_XP.033149294.1												
OG0016135					Dbus_XP.033149295.1												
OG0016136					Dbus_XP.033149339.1												
OG0016137					Dbus_XP.033149340.1												
OG0016138					Dbus_XP.033149353.1												
OG0016139					Dbus_XP.033149375.1												
OG0016140					Dbus_XP.033149392.1												
OG0016141					Dbus_XP.033149421.1												
OG0016142					Dbus_XP.033149436.1												
OG0016143					Dbus_XP.033149440.1												
OG0016144					Dbus_XP.033149486.1												
OG0016145					Dbus_XP.033149489.1												
OG0016146					Dbus_XP.033149577.1												
OG0016147					Dbus_XP.033149593.1												
OG0016148					Dbus_XP.033149780.1												
OG0016149					Dbus_XP.033149892.1												
OG0016150					Dbus_XP.033149908.1												
OG0016151					Dbus_XP.033149919.1												
OG0016152					Dbus_XP.033149941.1												
OG0016153					Dbus_XP.033149963.1												
OG0016154					Dbus_XP.033149984.1												
OG0016155					Dbus_XP.033149995.1												
OG0016156					Dbus_XP.033150177.1												
OG0016157					Dbus_XP.033150254.1												
OG0016158					Dbus_XP.033150269.1												
OG0016159					Dbus_XP.033150305.1												
OG0016160					Dbus_XP.033150322.1												
OG0016161					Dbus_XP.033150335.1												
OG0016162					Dbus_XP.033150358.1												
OG0016163					Dbus_XP.033150387.1												
OG0016164					Dbus_XP.033150394.1												
OG0016165					Dbus_XP.033150404.1												
OG0016166					Dbus_XP.033150413.1												
OG0016167					Dbus_XP.033150675.1												
OG0016168					Dbus_XP.033150689.1												
OG0016169					Dbus_XP.033150705.1												
OG0016170					Dbus_XP.033150706.1												
OG0016171					Dbus_XP.033150725.1												
OG0016172					Dbus_XP.033150742.1												
OG0016173					Dbus_XP.033150765.1												
OG0016174					Dbus_XP.033150790.1												
OG0016175					Dbus_XP.033150793.1												
OG0016176					Dbus_XP.033150808.1												
OG0016177					Dbus_XP.033150915.1												
OG0016178					Dbus_XP.033150924.1												
OG0016179						Dele_XP.017110635.1											
OG0016180						Dele_XP.017110793.1											
OG0016181						Dele_XP.017111193.1											
OG0016182						Dele_XP.017111528.2											
OG0016183						Dele_XP.017111537.1											
OG0016184						Dele_XP.017111579.1											
OG0016185						Dele_XP.017111923.1											
OG0016186						Dele_XP.017112275.2											
OG0016187						Dele_XP.017113004.1											
OG0016188						Dele_XP.017114732.1											
OG0016189						Dele_XP.017115236.1											
OG0016190						Dele_XP.017115241.1											
OG0016191						Dele_XP.017115725.1											
OG0016192						Dele_XP.017115798.1											
OG0016193						Dele_XP.017116395.1											
OG0016194						Dele_XP.017116478.1											
OG0016195						Dele_XP.017117277.1											
OG0016196						Dele_XP.017117501.1											
OG0016197						Dele_XP.017120722.1											
OG0016198						Dele_XP.017120755.1											
OG0016199						Dele_XP.017121522.1											
OG0016200						Dele_XP.017121581.1											
OG0016201						Dele_XP.017121650.1											
OG0016202						Dele_XP.017122526.2											
OG0016203						Dele_XP.017123012.1											
OG0016204						Dele_XP.017123171.1											
OG0016205						Dele_XP.017123818.1											
OG0016206						Dele_XP.017123876.1											
OG0016207						Dele_XP.017123965.1											
OG0016208						Dele_XP.017126669.1											
OG0016209						Dele_XP.017126713.1											
OG0016210						Dele_XP.017127156.1											
OG0016211						Dele_XP.017128758.1											
OG0016212						Dele_XP.017128858.1											
OG0016213						Dele_XP.017129217.1											
OG0016214						Dele_XP.017129301.1											
OG0016215						Dele_XP.017130755.1											
OG0016216						Dele_XP.017131034.1											
OG0016217						Dele_XP.017131161.1											
OG0016218						Dele_XP.017131346.1											
OG0016219						Dele_XP.017131401.1											
OG0016220						Dele_XP.017132147.1											
OG0016221						Dele_XP.017132226.1											
OG0016222						Dele_XP.017132694.1											
OG0016223						Dele_XP.017133198.2											
OG0016224						Dele_XP.017133303.1											
OG0016225						Dele_XP.017133971.1											
OG0016226						Dele_XP.017134153.1											
OG0016227						Dele_XP.017134531.1											
OG0016228						Dele_XP.041563009.1											
OG0016229						Dele_XP.041563067.1											
OG0016230						Dele_XP.041563125.1											
OG0016231						Dele_XP.041563276.1											
OG0016232						Dele_XP.041563277.1											
OG0016233						Dele_XP.041563278.1											
OG0016234						Dele_XP.041563279.1											
OG0016235						Dele_XP.041563282.1											
OG0016236						Dele_XP.041563283.1											
OG0016237						Dele_XP.041563317.1											
OG0016238						Dele_XP.041563321.1											
OG0016239						Dele_XP.041563348.1											
OG0016240						Dele_XP.041563353.1											
OG0016241						Dele_XP.041563468.1											
OG0016242						Dele_XP.041563796.1											
OG0016243						Dele_XP.041563821.1											
OG0016244						Dele_XP.041564000.1											
OG0016245						Dele_XP.041564290.1											
OG0016246						Dele_XP.041564488.1											
OG0016247						Dele_XP.041564519.1											
OG0016248						Dele_XP.041564622.1											
OG0016249						Dele_XP.041564671.1											
OG0016250						Dele_XP.041564691.1											
OG0016251						Dele_XP.041564731.1											
OG0016252						Dele_XP.041564763.1											
OG0016253						Dele_XP.041564841.1											
OG0016254						Dele_XP.041564844.1											
OG0016255						Dele_XP.041564902.1											
OG0016256						Dele_XP.041564936.1											
OG0016257						Dele_XP.041565096.1											
OG0016258						Dele_XP.041565107.1											
OG0016259						Dele_XP.041565111.1											
OG0016260						Dele_XP.041565119.1											
OG0016261						Dele_XP.041565273.1											
OG0016262						Dele_XP.041565340.1											
OG0016263						Dele_XP.041565421.1											
OG0016264						Dele_XP.041565534.1											
OG0016265						Dele_XP.041565573.1											
OG0016266						Dele_XP.041565715.1											
OG0016267						Dele_XP.041565749.1											
OG0016268						Dele_XP.041565812.1											
OG0016269						Dele_XP.041565938.1											
OG0016270						Dele_XP.041565942.1											
OG0016271						Dele_XP.041565961.1											
OG0016272						Dele_XP.041566058.1											
OG0016273						Dele_XP.041566059.1											
OG0016274						Dele_XP.041566279.1											
OG0016275						Dele_XP.041566339.1											
OG0016276						Dele_XP.041566365.1											
OG0016277						Dele_XP.041566412.1											
OG0016278						Dele_XP.041566444.1											
OG0016279						Dele_XP.041566515.1											
OG0016280						Dele_XP.041566548.1											
OG0016281						Dele_XP.041566592.1											
OG0016282						Dele_XP.041566619.1											
OG0016283						Dele_XP.041566679.1											
OG0016284						Dele_XP.041566827.1											
OG0016285						Dele_XP.041566837.1											
OG0016286							Dere_XP.001968906.1										
OG0016287							Dere_XP.001977545.1										
OG0016288							Dere_XP.001978623.1										
OG0016289							Dere_XP.001978695.1										
OG0016290							Dere_XP.001980457.1										
OG0016291							Dere_XP.015010463.1										
OG0016292							Dere_XP.015014292.1										
OG0016293							Dere_XP.015014326.1										
OG0016294							Dere_XP.015015515.2										
OG0016295							Dere_XP.026831552.1										
OG0016296							Dere_XP.026831613.1										
OG0016297							Dere_XP.026831625.1										
OG0016298							Dere_XP.026831694.1										
OG0016299							Dere_XP.026831737.1										
OG0016300							Dere_XP.026831794.1										
OG0016301							Dere_XP.026831901.1										
OG0016302							Dere_XP.026831914.1										
OG0016303							Dere_XP.026832059.1										
OG0016304							Dere_XP.026832177.1										
OG0016305							Dere_XP.026832677.1										
OG0016306							Dere_XP.026832789.1										
OG0016307							Dere_XP.026832836.1										
OG0016308							Dere_XP.026832873.1										
OG0016309							Dere_XP.026833075.1										
OG0016310							Dere_XP.026833135.1										
OG0016311							Dere_XP.026833226.1										
OG0016312							Dere_XP.026833269.1										
OG0016313							Dere_XP.026833355.1										
OG0016314							Dere_XP.026833509.1										
OG0016315							Dere_XP.026833710.1										
OG0016316							Dere_XP.026833917.1										
OG0016317							Dere_XP.026834051.1										
OG0016318							Dere_XP.026834090.1										
OG0016319							Dere_XP.026834321.1										
OG0016320							Dere_XP.026834572.1										
OG0016321							Dere_XP.026834666.1										
OG0016322							Dere_XP.026835297.1										
OG0016323							Dere_XP.026835375.1										
OG0016324							Dere_XP.026835770.1										
OG0016325							Dere_XP.026835943.1										
OG0016326							Dere_XP.026836028.1										
OG0016327							Dere_XP.026836233.1										
OG0016328							Dere_XP.026837707.1										
OG0016329							Dere_XP.026837741.1										
OG0016330							Dere_XP.026837747.1										
OG0016331							Dere_XP.026837758.1										
OG0016332							Dere_XP.026837767.1										
OG0016333							Dere_XP.026837933.1										
OG0016334							Dere_XP.026837961.1										
OG0016335							Dere_XP.026838034.1										
OG0016336							Dere_XP.026838404.1										
OG0016337							Dere_XP.026838416.1										
OG0016338							Dere_XP.026838479.1										
OG0016339							Dere_XP.026838489.1										
OG0016340							Dere_XP.026838931.1										
OG0016341							Dere_XP.026838932.1										
OG0016342							Dere_XP.026839460.1										
OG0016343							Dere_XP.026839517.1										
OG0016344							Dere_XP.026839620.1										
OG0016345							Dere_XP.026839647.1										
OG0016346							Dere_XP.026839806.1										
OG0016347								Dgri_XP.001983606.1									
OG0016348								Dgri_XP.001984850.3									
OG0016349								Dgri_XP.001985899.2									
OG0016350								Dgri_XP.001987822.1									
OG0016351								Dgri_XP.001987855.1									
OG0016352								Dgri_XP.001987907.2									
OG0016353								Dgri_XP.001988277.1									
OG0016354								Dgri_XP.001988886.1									
OG0016355								Dgri_XP.001990469.1									
OG0016356								Dgri_XP.001991776.2									
OG0016357								Dgri_XP.001992160.1									
OG0016358								Dgri_XP.001992353.2									
OG0016359								Dgri_XP.001992390.3									
OG0016360								Dgri_XP.001992569.1									
OG0016361								Dgri_XP.001992710.1									
OG0016362								Dgri_XP.001993257.2									
OG0016363								Dgri_XP.001993495.1									
OG0016364								Dgri_XP.001993942.2									
OG0016365								Dgri_XP.001995195.1									
OG0016366								Dgri_XP.001995562.2									
OG0016367								Dgri_XP.001995653.1									
OG0016368								Dgri_XP.001995659.2									
OG0016369								Dgri_XP.001995854.1									
OG0016370								Dgri_XP.001997057.1									
OG0016371								Dgri_XP.001997507.2									
OG0016372								Dgri_XP.032589963.1									
OG0016373								Dgri_XP.032589965.1									
OG0016374								Dgri_XP.032590259.1									
OG0016375								Dgri_XP.032590330.2									
OG0016376								Dgri_XP.032590368.1									
OG0016377								Dgri_XP.032590515.1									
OG0016378								Dgri_XP.032590570.1									
OG0016379								Dgri_XP.032590730.1									
OG0016380								Dgri_XP.032591194.1									
OG0016381								Dgri_XP.032591358.1									
OG0016382								Dgri_XP.032591444.1									
OG0016383								Dgri_XP.032591523.1									
OG0016384								Dgri_XP.032591696.1									
OG0016385								Dgri_XP.032592206.1									
OG0016386								Dgri_XP.032592233.2									
OG0016387								Dgri_XP.032592299.1									
OG0016388								Dgri_XP.032592419.1									
OG0016389								Dgri_XP.032592444.1									
OG0016390								Dgri_XP.032592988.1									
OG0016391								Dgri_XP.032593055.1									
OG0016392								Dgri_XP.032593218.1									
OG0016393								Dgri_XP.032593291.1									
OG0016394								Dgri_XP.032593375.2									
OG0016395								Dgri_XP.032593878.1									
OG0016396								Dgri_XP.032593879.1									
OG0016397								Dgri_XP.032593989.1									
OG0016398								Dgri_XP.032594015.1									
OG0016399								Dgri_XP.032594051.1									
OG0016400								Dgri_XP.032594186.1									
OG0016401								Dgri_XP.032594200.1									
OG0016402								Dgri_XP.032594201.1									
OG0016403								Dgri_XP.032594223.1									
OG0016404								Dgri_XP.032594224.1									
OG0016405								Dgri_XP.032594248.1									
OG0016406								Dgri_XP.032594496.1									
OG0016407								Dgri_XP.032594721.2									
OG0016408								Dgri_XP.032594740.2									
OG0016409								Dgri_XP.032594741.1									
OG0016410								Dgri_XP.032594780.1									
OG0016411								Dgri_XP.032594782.2									
OG0016412								Dgri_XP.032594810.2									
OG0016413								Dgri_XP.032594822.1									
OG0016414								Dgri_XP.032594833.2									
OG0016415								Dgri_XP.032595248.1									
OG0016416								Dgri_XP.032595317.1									
OG0016417								Dgri_XP.032595420.1									
OG0016418								Dgri_XP.032595488.1									
OG0016419								Dgri_XP.032595552.1									
OG0016420								Dgri_XP.032595556.1									
OG0016421								Dgri_XP.032595644.1									
OG0016422								Dgri_XP.032596322.1									
OG0016423								Dgri_XP.032596703.1									
OG0016424								Dgri_XP.032596807.1									
OG0016425								Dgri_XP.032596997.1									
OG0016426								Dgri_XP.032596999.1									
OG0016427								Dgri_XP.032597158.1									
OG0016428								Dgri_XP.032597170.1									
OG0016429								Dgri_XP.032597200.1									
OG0016430								Dgri_XP.032597289.1									
OG0016431								Dgri_XP.032597308.1									
OG0016432								Dgri_XP.032597484.1									
OG0016433								Dgri_XP.032597494.1									
OG0016434								Dgri_XP.032597510.1									
OG0016435								Dgri_XP.032597540.1									
OG0016436								Dgri_XP.032597942.2									
OG0016437								Dgri_XP.032598291.2									
OG0016438								Dgri_XP.032598352.2									
OG0016439								Dgri_XP.032598860.2									
OG0016440								Dgri_XP.032598871.1									
OG0016441								Dgri_XP.032599025.1									
OG0016442								Dgri_XP.032599386.1									
OG0016443								Dgri_XP.032599449.1									
OG0016444								Dgri_XP.043070200.1									
OG0016445								Dgri_XP.043070354.1									
OG0016446								Dgri_XP.043070364.1									
OG0016447								Dgri_XP.043070393.1									
OG0016448								Dgri_XP.043070459.1									
OG0016449								Dgri_XP.043070496.1									
OG0016450								Dgri_XP.043070532.1									
OG0016451								Dgri_XP.043070543.1									
OG0016452								Dgri_XP.043070644.1									
OG0016453								Dgri_XP.043070659.1									
OG0016454								Dgri_XP.043070665.1									
OG0016455								Dgri_XP.043070675.1									
OG0016456								Dgri_XP.043070699.1									
OG0016457								Dgri_XP.043070729.1									
OG0016458								Dgri_XP.043070748.1									
OG0016459								Dgri_XP.043070874.1									
OG0016460								Dgri_XP.043070959.1									
OG0016461								Dgri_XP.043071049.1									
OG0016462								Dgri_XP.043071066.1									
OG0016463								Dgri_XP.043071071.1									
OG0016464								Dgri_XP.043071091.1									
OG0016465								Dgri_XP.043071128.1									
OG0016466								Dgri_XP.043071153.1									
OG0016467								Dgri_XP.043071161.1									
OG0016468								Dgri_XP.043071187.1									
OG0016469								Dgri_XP.043071206.1									
OG0016470								Dgri_XP.043071212.1									
OG0016471								Dgri_XP.043071214.1									
OG0016472								Dgri_XP.043071237.1									
OG0016473								Dgri_XP.043071240.1									
OG0016474								Dgri_XP.043071253.1									
OG0016475								Dgri_XP.043071255.1									
OG0016476								Dgri_XP.043071261.1									
OG0016477								Dgri_XP.043071271.1									
OG0016478								Dgri_XP.043071294.1									
OG0016479								Dgri_XP.043071309.1									
OG0016480								Dgri_XP.043071315.1									
OG0016481								Dgri_XP.043071322.1									
OG0016482								Dgri_XP.043071336.1									
OG0016483								Dgri_XP.043071397.1									
OG0016484								Dgri_XP.043071475.1									
OG0016485								Dgri_XP.043071773.1									
OG0016486								Dgri_XP.043071777.1									
OG0016487								Dgri_XP.043071808.1									
OG0016488								Dgri_XP.043071812.1									
OG0016489								Dgri_XP.043071878.1									
OG0016490								Dgri_XP.043071888.1									
OG0016491								Dgri_XP.043071914.1									
OG0016492								Dgri_XP.043071920.1									
OG0016493								Dgri_XP.043071982.1									
OG0016494								Dgri_XP.043072115.1									
OG0016495								Dgri_XP.043072171.1									
OG0016496								Dgri_XP.043072203.1									
OG0016497								Dgri_XP.043072220.1									
OG0016498								Dgri_XP.043072221.1									
OG0016499								Dgri_XP.043072227.1									
OG0016500								Dgri_XP.043072320.1									
OG0016501								Dgri_XP.043072342.1									
OG0016502								Dgri_XP.043072345.1									
OG0016503								Dgri_XP.043072353.1									
OG0016504								Dgri_XP.043072386.1									
OG0016505								Dgri_XP.043072389.1									
OG0016506									Dhyd_XP.023159582.2								
OG0016507									Dhyd_XP.023159779.2								
OG0016508									Dhyd_XP.023160021.1								
OG0016509									Dhyd_XP.023160023.1								
OG0016510									Dhyd_XP.023160164.2								
OG0016511									Dhyd_XP.023160327.2								
OG0016512									Dhyd_XP.023160336.2								
OG0016513									Dhyd_XP.023160583.2								
OG0016514									Dhyd_XP.023160690.2								
OG0016515									Dhyd_XP.023161500.1								
OG0016516									Dhyd_XP.023161502.2								
OG0016517									Dhyd_XP.023161777.2								
OG0016518									Dhyd_XP.023162823.1								
OG0016519									Dhyd_XP.023162827.2								
OG0016520									Dhyd_XP.023163124.1								
OG0016521									Dhyd_XP.023163824.1								
OG0016522									Dhyd_XP.023164438.2								
OG0016523									Dhyd_XP.023164468.2								
OG0016524									Dhyd_XP.023164912.2								
OG0016525									Dhyd_XP.023165038.2								
OG0016526									Dhyd_XP.023165041.2								
OG0016527									Dhyd_XP.023165327.1								
OG0016528									Dhyd_XP.023166253.2								
OG0016529									Dhyd_XP.023166712.1								
OG0016530									Dhyd_XP.023166751.1								
OG0016531									Dhyd_XP.023167321.2								
OG0016532									Dhyd_XP.023167357.2								
OG0016533									Dhyd_XP.023167591.2								
OG0016534									Dhyd_XP.023167716.1								
OG0016535									Dhyd_XP.023167719.1								
OG0016536									Dhyd_XP.023167763.2								
OG0016537									Dhyd_XP.023168105.2								
OG0016538									Dhyd_XP.023169050.2								
OG0016539									Dhyd_XP.023169377.1								
OG0016540									Dhyd_XP.023169725.1								
OG0016541									Dhyd_XP.023169832.2								
OG0016542									Dhyd_XP.023169942.2								
OG0016543									Dhyd_XP.023170213.2								
OG0016544									Dhyd_XP.023170237.2								
OG0016545									Dhyd_XP.023172010.1								
OG0016546									Dhyd_XP.023172117.1								
OG0016547									Dhyd_XP.023172174.2								
OG0016548									Dhyd_XP.023172392.2								
OG0016549									Dhyd_XP.023172891.2								
OG0016550									Dhyd_XP.023173240.1								
OG0016551									Dhyd_XP.023173347.2								
OG0016552									Dhyd_XP.023173778.1								
OG0016553									Dhyd_XP.023174062.1								
OG0016554									Dhyd_XP.023174066.2								
OG0016555									Dhyd_XP.023174080.2								
OG0016556									Dhyd_XP.023174252.2								
OG0016557									Dhyd_XP.023174341.1								
OG0016558									Dhyd_XP.023174347.1								
OG0016559									Dhyd_XP.023174556.2								
OG0016560									Dhyd_XP.023175104.1								
OG0016561									Dhyd_XP.023175131.2								
OG0016562									Dhyd_XP.023176111.2								
OG0016563									Dhyd_XP.023176288.2								
OG0016564									Dhyd_XP.023176408.1								
OG0016565									Dhyd_XP.023176731.2								
OG0016566									Dhyd_XP.023176756.2								
OG0016567									Dhyd_XP.023177035.2								
OG0016568									Dhyd_XP.023177564.2								
OG0016569									Dhyd_XP.023177589.1								
OG0016570									Dhyd_XP.023178403.1								
OG0016571									Dhyd_XP.023178688.2								
OG0016572									Dhyd_XP.023178887.1								
OG0016573									Dhyd_XP.030078555.1								
OG0016574									Dhyd_XP.030078622.1								
OG0016575									Dhyd_XP.030078623.1								
OG0016576									Dhyd_XP.030078746.1								
OG0016577									Dhyd_XP.030078751.1								
OG0016578									Dhyd_XP.030078960.1								
OG0016579									Dhyd_XP.030079079.1								
OG0016580									Dhyd_XP.030079302.1								
OG0016581									Dhyd_XP.030079305.1								
OG0016582									Dhyd_XP.030079320.1								
OG0016583									Dhyd_XP.030079321.1								
OG0016584									Dhyd_XP.030079342.1								
OG0016585									Dhyd_XP.030079425.1								
OG0016586									Dhyd_XP.030079433.1								
OG0016587									Dhyd_XP.030079524.1								
OG0016588									Dhyd_XP.030079568.1								
OG0016589									Dhyd_XP.030079618.1								
OG0016590									Dhyd_XP.030079734.1								
OG0016591									Dhyd_XP.030079893.1								
OG0016592									Dhyd_XP.030079916.1								
OG0016593									Dhyd_XP.030079981.1								
OG0016594									Dhyd_XP.030080288.1								
OG0016595									Dhyd_XP.030080289.1								
OG0016596									Dhyd_XP.030080444.1								
OG0016597									Dhyd_XP.030080550.1								
OG0016598									Dhyd_XP.030080558.1								
OG0016599									Dhyd_XP.030080669.1								
OG0016600									Dhyd_XP.030080958.1								
OG0016601									Dhyd_XP.030081025.1								
OG0016602									Dhyd_XP.030081055.1								
OG0016603									Dhyd_XP.030081151.1								
OG0016604									Dhyd_XP.030081253.1								
OG0016605									Dhyd_XP.030081409.1								
OG0016606									Dhyd_XP.030081497.1								
OG0016607									Dhyd_XP.030081563.1								
OG0016608									Dhyd_XP.030081633.1								
OG0016609									Dhyd_XP.030081737.1								
OG0016610									Dhyd_XP.030081742.1								
OG0016611									Dhyd_XP.030081806.1								
OG0016612									Dhyd_XP.030081981.1								
OG0016613									Dhyd_XP.030081991.1								
OG0016614									Dhyd_XP.030082005.1								
OG0016615									Dhyd_XP.030082006.1								
OG0016616									Dhyd_XP.030082013.1								
OG0016617									Dhyd_XP.030082046.1								
OG0016618										Dkik_XP.017016342.1							
OG0016619										Dkik_XP.017016484.1							
OG0016620										Dkik_XP.017017013.1							
OG0016621										Dkik_XP.017017650.1							
OG0016622										Dkik_XP.017017965.2							
OG0016623										Dkik_XP.017018042.1							
OG0016624										Dkik_XP.017018846.1							
OG0016625										Dkik_XP.017019028.1							
OG0016626										Dkik_XP.017019766.1							
OG0016627										Dkik_XP.017020919.2							
OG0016628										Dkik_XP.017020977.1							
OG0016629										Dkik_XP.017021003.1							
OG0016630										Dkik_XP.017021196.1							
OG0016631										Dkik_XP.017021513.1							
OG0016632										Dkik_XP.017021534.1							
OG0016633										Dkik_XP.017021672.1							
OG0016634										Dkik_XP.017021885.2							
OG0016635										Dkik_XP.017021899.1							
OG0016636										Dkik_XP.017021904.2							
OG0016637										Dkik_XP.017021905.1							
OG0016638										Dkik_XP.017022094.1							
OG0016639										Dkik_XP.017022285.1							
OG0016640										Dkik_XP.017023002.1							
OG0016641										Dkik_XP.017023068.1							
OG0016642										Dkik_XP.017023607.1							
OG0016643										Dkik_XP.017023813.1							
OG0016644										Dkik_XP.017023978.1							
OG0016645										Dkik_XP.017024096.1							
OG0016646										Dkik_XP.017024119.1							
OG0016647										Dkik_XP.017024128.1							
OG0016648										Dkik_XP.017024129.2							
OG0016649										Dkik_XP.017024231.1							
OG0016650										Dkik_XP.017024356.1							
OG0016651										Dkik_XP.017024648.1							
OG0016652										Dkik_XP.017025314.1							
OG0016653										Dkik_XP.017025442.1							
OG0016654										Dkik_XP.017025461.1							
OG0016655										Dkik_XP.017025501.1							
OG0016656										Dkik_XP.017025516.1							
OG0016657										Dkik_XP.017025533.1							
OG0016658										Dkik_XP.017026161.2							
OG0016659										Dkik_XP.017026454.1							
OG0016660										Dkik_XP.017026463.1							
OG0016661										Dkik_XP.017028684.2							
OG0016662										Dkik_XP.017028870.1							
OG0016663										Dkik_XP.017029100.1							
OG0016664										Dkik_XP.017029160.1							
